업체명,업종,주소,전화번호,평점,리뷰수,연락상태,나우링크URL,네이버플레이스URL,수집일시
"파밀리아 베이커리",카페,"부산광역시 금정구 금강로 188 1층, 2층",,,,pending,https://www.nowlink.kr/store/cafe-부산-20,https://www.instagram.com/familia_bakery,2026-04-27T01:58:27.071Z
"쿠타팜 테라스 광안리점",카페,"부산광역시 수영구 광안해변로 153-1 3층",,,,pending,https://www.nowlink.kr/store/cafe-부산-21,http://instagram.com/kutapalm,2026-04-27T01:58:27.071Z
"신기커피영도",카페,"부산광역시 영도구 와치로 65 신기커피영도",,,,pending,https://www.nowlink.kr/store/cafe-부산-22,https://www.instagram.com/sinkicoffee,2026-04-27T01:58:27.071Z
"쏘쏘사라다 부산서면점",카페,"부산광역시 부산진구 전포대로199번길 40-5 1층",,,,pending,https://www.nowlink.kr/store/cafe-부산-23,https://www.instagram.com/soso_sarada/,2026-04-27T01:58:27.071Z
"테이블",카페,"부산광역시 북구 모분재로15번길 96 지하층",,,,pending,https://www.nowlink.kr/store/cafe-부산-24,https://smartstore.naver.com/ta-ble,2026-04-27T01:58:27.071Z
"파밀리아 베이커리",카페,"부산광역시 금정구 금강로 188 1층, 2층",,,,pending,https://www.nowlink.kr/store/cafe-부산-25,https://www.instagram.com/familia_bakery,2026-04-27T01:58:27.071Z
"The november 라운지 송도테크노파크점",카페,"인천광역시 연수구 송도과학로16번길 13-25 1층",,,,pending,https://www.nowlink.kr/store/cafe-인천-1,https://www.instagram.com/thenovember_songdo_technopark?igsh=NjA3OWR1cjVhdmF4&utm_source=qr,2026-04-27T01:58:28.106Z
"빵쌤 센트럴파크점",카페,"인천광역시 연수구 컨벤시아대로 160 이스트보트하우스 2층",,,,pending,https://www.nowlink.kr/store/cafe-인천-2,https://www.instagram.com/bbangssaem_cafe_songdo,2026-04-27T01:58:28.106Z
"빵백화점 청라점",카페,"인천광역시 서구 청라에메랄드로 79 지하1층 A28호, A29호, A30호",,,,pending,https://www.nowlink.kr/store/cafe-인천-3,https://thebreadbag.co.kr/,2026-04-27T01:58:28.106Z
"엠클리프",카페,"인천광역시 중구 마시란로 51-30 엠클리프",,,,pending,https://www.nowlink.kr/store/cafe-인천-4,https://blog.naver.com/mcliff,2026-04-27T01:58:28.106Z
"해운대달맞이빵 인천차이나타운점",카페,"인천광역시 중구 차이나타운로59번길 20 1호",,,,pending,https://www.nowlink.kr/store/cafe-인천-5,https://www.instagram.com/dalmaji_chinatown,2026-04-27T01:58:28.106Z
"The november 라운지 송도테크노파크점",카페,"인천광역시 연수구 송도과학로16번길 13-25 1층",,,,pending,https://www.nowlink.kr/store/cafe-인천-6,https://www.instagram.com/thenovember_songdo_technopark?igsh=NjA3OWR1cjVhdmF4&utm_source=qr,2026-04-27T01:58:28.106Z
"빵쌤 센트럴파크점",카페,"인천광역시 연수구 컨벤시아대로 160 이스트보트하우스 2층",,,,pending,https://www.nowlink.kr/store/cafe-인천-7,https://www.instagram.com/bbangssaem_cafe_songdo,2026-04-27T01:58:28.106Z
"빵백화점 청라점",카페,"인천광역시 서구 청라에메랄드로 79 지하1층 A28호, A29호, A30호",,,,pending,https://www.nowlink.kr/store/cafe-인천-8,https://thebreadbag.co.kr/,2026-04-27T01:58:28.106Z
"엠클리프",카페,"인천광역시 중구 마시란로 51-30 엠클리프",,,,pending,https://www.nowlink.kr/store/cafe-인천-9,https://blog.naver.com/mcliff,2026-04-27T01:58:28.106Z
"해운대달맞이빵 인천차이나타운점",카페,"인천광역시 중구 차이나타운로59번길 20 1호",,,,pending,https://www.nowlink.kr/store/cafe-인천-10,https://www.instagram.com/dalmaji_chinatown,2026-04-27T01:58:28.106Z
"The november 라운지 송도테크노파크점",카페,"인천광역시 연수구 송도과학로16번길 13-25 1층",,,,pending,https://www.nowlink.kr/store/cafe-인천-11,https://www.instagram.com/thenovember_songdo_technopark?igsh=NjA3OWR1cjVhdmF4&utm_source=qr,2026-04-27T01:58:28.106Z
"빵쌤 센트럴파크점",카페,"인천광역시 연수구 컨벤시아대로 160 이스트보트하우스 2층",,,,pending,https://www.nowlink.kr/store/cafe-인천-12,https://www.instagram.com/bbangssaem_cafe_songdo,2026-04-27T01:58:28.106Z
"빵백화점 청라점",카페,"인천광역시 서구 청라에메랄드로 79 지하1층 A28호, A29호, A30호",,,,pending,https://www.nowlink.kr/store/cafe-인천-13,https://thebreadbag.co.kr/,2026-04-27T01:58:28.106Z
"엠클리프",카페,"인천광역시 중구 마시란로 51-30 엠클리프",,,,pending,https://www.nowlink.kr/store/cafe-인천-14,https://blog.naver.com/mcliff,2026-04-27T01:58:28.106Z
"해운대달맞이빵 인천차이나타운점",카페,"인천광역시 중구 차이나타운로59번길 20 1호",,,,pending,https://www.nowlink.kr/store/cafe-인천-15,https://www.instagram.com/dalmaji_chinatown,2026-04-27T01:58:28.106Z
"The november 라운지 송도테크노파크점",카페,"인천광역시 연수구 송도과학로16번길 13-25 1층",,,,pending,https://www.nowlink.kr/store/cafe-인천-16,https://www.instagram.com/thenovember_songdo_technopark?igsh=NjA3OWR1cjVhdmF4&utm_source=qr,2026-04-27T01:58:28.106Z
"빵쌤 센트럴파크점",카페,"인천광역시 연수구 컨벤시아대로 160 이스트보트하우스 2층",,,,pending,https://www.nowlink.kr/store/cafe-인천-17,https://www.instagram.com/bbangssaem_cafe_songdo,2026-04-27T01:58:28.106Z
"빵백화점 청라점",카페,"인천광역시 서구 청라에메랄드로 79 지하1층 A28호, A29호, A30호",,,,pending,https://www.nowlink.kr/store/cafe-인천-18,https://thebreadbag.co.kr/,2026-04-27T01:58:28.106Z
"엠클리프",카페,"인천광역시 중구 마시란로 51-30 엠클리프",,,,pending,https://www.nowlink.kr/store/cafe-인천-19,https://blog.naver.com/mcliff,2026-04-27T01:58:28.106Z
"해운대달맞이빵 인천차이나타운점",카페,"인천광역시 중구 차이나타운로59번길 20 1호",,,,pending,https://www.nowlink.kr/store/cafe-인천-20,https://www.instagram.com/dalmaji_chinatown,2026-04-27T01:58:28.106Z
"The november 라운지 송도테크노파크점",카페,"인천광역시 연수구 송도과학로16번길 13-25 1층",,,,pending,https://www.nowlink.kr/store/cafe-인천-21,https://www.instagram.com/thenovember_songdo_technopark?igsh=NjA3OWR1cjVhdmF4&utm_source=qr,2026-04-27T01:58:28.106Z
"빵쌤 센트럴파크점",카페,"인천광역시 연수구 컨벤시아대로 160 이스트보트하우스 2층",,,,pending,https://www.nowlink.kr/store/cafe-인천-22,https://www.instagram.com/bbangssaem_cafe_songdo,2026-04-27T01:58:28.106Z
"빵백화점 청라점",카페,"인천광역시 서구 청라에메랄드로 79 지하1층 A28호, A29호, A30호",,,,pending,https://www.nowlink.kr/store/cafe-인천-23,https://thebreadbag.co.kr/,2026-04-27T01:58:28.106Z
"엠클리프",카페,"인천광역시 중구 마시란로 51-30 엠클리프",,,,pending,https://www.nowlink.kr/store/cafe-인천-24,https://blog.naver.com/mcliff,2026-04-27T01:58:28.106Z
"해운대달맞이빵 인천차이나타운점",카페,"인천광역시 중구 차이나타운로59번길 20 1호",,,,pending,https://www.nowlink.kr/store/cafe-인천-25,https://www.instagram.com/dalmaji_chinatown,2026-04-27T01:58:28.106Z
"큐바이쿼트",카페,"대구광역시 남구 명덕로 256",,,,pending,https://www.nowlink.kr/store/cafe-대구-1,https://map.naver.com/v5/search/%ED%81%90%EB%B0%94%EC%9D%B4%EC%BF%BC%ED%8A%B8,2026-04-27T01:58:29.177Z
"인더매스 삼덕",카페,"대구광역시 중구 공평로8길 29 1층",,,,pending,https://www.nowlink.kr/store/cafe-대구-2,https://blog.naver.com/masscoffee_,2026-04-27T01:58:29.177Z
"피와이지",카페,"대구광역시 중구 달구벌대로443길 40 1,2층",,,,pending,https://www.nowlink.kr/store/cafe-대구-3,https://www.instagram.com/pinkyellowgreen.market?igsh=d2hyYmp5bXowZ216,2026-04-27T01:58:29.177Z
"목영커피바",카페,"대구광역시 중구 공평로 53 2층 목영커피바",,,,pending,https://www.nowlink.kr/store/cafe-대구-4,https://map.naver.com/v5/search/%EB%AA%A9%EC%98%81%EC%BB%A4%ED%94%BC%EB%B0%94,2026-04-27T01:58:29.177Z
"펜슬앤페이퍼",카페,"대구광역시 중구 경상감영길 27-6 1층",,,,pending,https://www.nowlink.kr/store/cafe-대구-5,https://www.instagram.com/pencilandpaper_coffee?igsh=NGRmeDBtbDc1dGR0&utm_source=qr,2026-04-27T01:58:29.177Z
